no	effector	l1	l2	p.value
"1322"	"hopBL"	-56.57954	-54.588801	3.981478	0.408518333375452
"1323"	"hopB"	-58.450129	-57.283708	2.332842	0.674796238337817
"1324"	"hopC"	-57.268023	-55.127517	4.281012	0.369308822888422
"1325"	"hopD"	-72.281583	-69.542861	5.477444	0.241719296423886
"1326"	"hopE"	-63.300446	-62.99224	0.616412	0.961222596259921
"1327"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"1328"	"hopG"	-67.677583	-64.604933	6.1453	0.18855677821265
"1329"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"1330"	"hopI"	-46.891243	-45.931733	1.91902	0.750650167478321
"1331"	"hopK"	-39.664812	-39.425467	0.47869	0.975542077313881
"1332"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"1333"	"hopN"	-51.850712	-51.20626	1.288904	0.863255301001384
"1334"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1335"	"hopQ"	-71.010277	-68.327065	5.366424	0.251722798613349
"1336"	"hopR"	-71.972372	-69.162914	5.618916	0.229472730429635
"1337"	"hopS"	-42.011965	-41.856702	0.310526	0.98912459320586
"1338"	"hopT"	-62.52055	-60.385799	4.269502	0.370759655589209
"1339"	"hopU"	-41.658934	-41.058182	1.201504	0.877850931923641
"1340"	"hopV"	-58.191609	-54.759012	6.865194	0.143185919406006
"1341"	"hopW"	-71.067845	-68.758445	4.6188	0.328692342163999
"1342"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"1343"	"hopY"	-37.64646	-37.567544	0.157832	0.99704520740254
"1344"	"hopZ"	-96.858463	-93.73162	6.253686	0.180986960433638
"1345"	"avrA"	-54.343394	-51.646849	5.39309	0.249288005984717
"1346"	"avrB"	-91.525608	-87.155572	8.740072	0.0679351715846494
"1347"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"1348"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1349"	"avrPto"	-86.887975	-81.659363	10.457224	0.033391346981989
"1350"	"avrRpm"	-80.74256	-78.978944	3.527232	0.473749758269649
"1351"	"avrRps4"	-76.409386	-73.466804	5.885164	0.207890004978402
"1352"	"avrRpt2"	-50.977588	-50.366809	1.221558	0.874536640073076
"1353"	"hopA1"	-91.697977	-90.265389	2.865176	0.580635382022325
"1354"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"1355"	"hopAB"	-86.238309	-78.595634	15.28535	0.00414454254894826
"1356"	"hopAD"	-39.664812	-39.434886	0.459852	0.977289852365837
"1357"	"hopAE"	-79.711518	-76.37809	6.666856	0.15457604775095
"1358"	"hopAF"	-104.844268	-101.460378	6.76778	0.148680801631662
"1359"	"hopAG"	-66.818747	-64.599663	4.438168	0.349942244803167
"1360"	"hopAH"	-55.769689	-53.967973	3.603432	0.462326506541619
"1361"	"hopAI"	-60.369009	-58.108194	4.52163	0.339990420806901
"1362"	"hopAL"	-53.692517	-51.716115	3.952804	0.41243081375435
"1363"	"hopAM"	-52.902758	-51.765635	2.274246	0.685461826927775
"1364"	"hopAO"	-69.468744	-66.712425	5.512638	0.238620820627882
"1365"	"hopAQ"	-39.664812	-39.434856	0.459912	0.977284371166925
"1366"	"hopAR"	-72.990154	-66.985394	12.00952	0.0172806123028736
"1367"	"hopAS"	-56.806437	-54.894314	3.824246	0.430313773086815
"1368"	"hopAT"	-77.775445	-75.776051	3.998788	0.406169900923114
"1369"	"hopAU"	-50.369004	-49.530156	1.677696	0.794765074787167
"1370"	"hopAV"	-67.008293	-64.478138	5.06031	0.281165104788452
"1371"	"hopAW"	-57.535763	-55.990403	3.09072	0.542760075733622
"1372"	"hopAX"	-48.062667	-46.22936	3.666614	0.453000332577513
"1373"	"hopAY"	-99.399526	-96.502429	5.794194	0.215054222922601
"1374"	"hopAZ"	-97.305653	-96.283455	2.044396	0.727593357763359
"1375"	"hopBA"	-56.758852	-55.319716	2.878272	0.578398546120785
"1376"	"hopBB"	-76.42517	-71.541602	9.767136	0.0445383519504635
"1377"	"hopBC"	-55.903204	-54.451049	2.90431	0.573964477640762
"1378"	"hopBD"	-75.964314	-72.749775	6.429078	0.169314256341203
"1379"	"hopBE"	-48.558867	-46.110337	4.89706	0.298023794987218
"1380"	"hopBF"	-84.05626	-69.076651	29.959218	4.98889793128792e-06
"1381"	"hopBG"	-39.624522	-39.169895	0.909254	0.923229444639468
"1382"	"hopBH"	-43.955988	-43.320338	1.2713	0.866225751698183
"1383"	"hopBI"	-55.395777	-54.051444	2.688666	0.611199368997907
"1384"	"hopBJ"	-35.066772	-34.971789	0.189966	0.99576483176108
"1385"	"hopBK"	-49.271546	-48.625587	1.291918	0.862745263583385
"1386"	"hopBL"	-56.57954	-54.632683	3.893714	0.42058115517384
"1387"	"hopB"	-58.450129	-57.294037	2.312184	0.67855165173195
"1388"	"hopC"	-57.268023	-55.123222	4.289602	0.368228950234869
"1389"	"hopD"	-72.281583	-69.602133	5.3589	0.252413486800156
"1390"	"hopE"	-63.300446	-62.992246	0.6164	0.961223955002702
"1391"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"1392"	"hopG"	-67.677583	-65.608987	4.137192	0.387757214127774
"1393"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"1394"	"hopI"	-46.891243	-45.942224	1.898038	0.754505409664548
"1395"	"hopK"	-39.664812	-39.435527	0.45857	0.977406835662939
"1396"	"hopM"	-74.737348	-71.215512	7.043672	0.133598279769361
"1397"	"hopN"	-51.850712	-51.206237	1.28895	0.863247519933222
"1398"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1399"	"hopQ"	-71.010277	-68.287851	5.444852	0.244619730719482
"1400"	"hopR"	-71.972372	-69.14557	5.653604	0.22655386844691
"1401"	"hopS"	-42.011965	-41.854867	0.314196	0.988879442115744
"1402"	"hopT"	-62.52055	-60.385883	4.269334	0.370780864854675
"1403"	"hopU"	-41.658934	-40.996691	1.324486	0.857207638127233
"1404"	"hopV"	-58.191609	-54.785619	6.81198	0.14616414306004
"1405"	"hopW"	-71.067845	-68.579556	4.976578	0.289709193000648
"1406"	"hopX"	-105.17302	-104.577067	1.191906	0.879429435952242
"1407"	"hopY"	-37.649146	-37.669056	-0.03982	1
"1408"	"hopZ"	-96.858463	-93.241127	7.234672	0.123994498091147
"1409"	"avrA"	-54.343394	-51.549465	5.587858	0.232113955033003
"1410"	"avrB"	-91.525608	-87.137566	8.776084	0.066946603074172
"1411"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"1412"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1413"	"avrPto"	-86.887975	-81.662112	10.451726	0.0334684882290163
"1414"	"avrRpm"	-80.74256	-78.978895	3.52733	0.47373494445842
"1415"	"avrRps4"	-76.409386	-73.466801	5.88517	0.207889539497065
"1416"	"avrRpt2"	-50.977588	-50.372748	1.20968	0.87650231199976
"1417"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"1418"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"1419"	"hopAB"	-86.238309	-78.605027	15.266564	0.00417910877907283
"1420"	"hopAD"	-39.664812	-39.434743	0.460138	0.977263720374538
"1421"	"hopAE"	-79.711518	-76.377719	6.667598	0.154531939563764
"1422"	"hopAF"	-100.815911	-101.175329	-0.718836	1
"1423"	"hopAG"	-66.818747	-64.540786	4.555922	0.33596798132085
"1424"	"hopAH"	-55.769689	-53.92231	3.694758	0.448888802425811
"1425"	"hopAI"	-60.369009	-58.108162	4.521694	0.339982877675903
"1426"	"hopAL"	-53.692517	-51.586212	4.21261	0.377996220134575
"1427"	"hopAM"	-52.902758	-51.800471	2.204574	0.698191959629181
"1428"	"hopAO"	-69.468744	-66.681639	5.57421	0.233282963871476
"1429"	"hopAQ"	-39.664812	-39.440795	0.448034	0.978358680586444
"1430"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"1431"	"hopAS"	-56.806437	-54.852939	3.906996	0.418738872471734
"1432"	"hopAT"	-77.775445	-75.719764	4.111362	0.391144383865629
"1433"	"hopAU"	-50.369821	-49.557856	1.62393	0.804484879010021
"1434"	"hopAV"	-67.008293	-64.477985	5.060616	0.281134273894978
"1435"	"hopAW"	-57.535763	-55.968014	3.135498	0.535411665161844
"1436"	"hopAX"	-48.062667	-47.217388	1.690558	0.792432053014243
"1437"	"hopAY"	-99.399526	-96.500861	5.79733	0.214803673796644
"1438"	"hopAZ"	-97.305653	-96.466066	1.679174	0.794497126227499
"1439"	"hopBA"	-56.758852	-55.318839	2.880026	0.578099295905544
"1440"	"hopBB"	-76.42517	-71.529406	9.791528	0.0440896652065534
"1441"	"hopBC"	-55.903204	-54.450422	2.905564	0.573751381685763
"1442"	"hopBD"	-75.964314	-72.718578	6.491472	0.165328509986809
"1443"	"hopBE"	-48.577854	-45.957403	5.240902	0.263460350110474
"1444"	"hopBF"	-84.05626	-69.063489	29.985542	4.92771979880537e-06
"1445"	"hopBG"	-39.624522	-39.166792	0.91546	0.922332428631499
"1446"	"hopBH"	-43.955988	-43.322719	1.266538	0.867026730125431
"1447"	"hopBI"	-55.395777	-54.07111	2.649334	0.618109163580901
"1448"	"hopBJ"	-34.987339	-34.984143	0.00639199999999	0.999994903660727
"1449"	"hopBK"	-49.271546	-48.620496	1.3021	0.861019134826743
"1450"	"hopBL"	-56.57954	-54.686353	3.786374	0.435688239982644
"1451"	"hopB"	-58.450129	-57.272416	2.355426	0.670697035134513
"1452"	"hopC"	-57.268023	-55.139392	4.257262	0.372307381585313
"1453"	"hopD"	-72.281583	-69.585108	5.39295	0.249300735757792
"1454"	"hopE"	-63.300446	-62.992238	0.616416	0.961222143341594
"1455"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"1456"	"hopG"	-67.677583	-65.61902	4.117126	0.390386579162578
"1457"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"1458"	"hopI"	-47.078015	-46.264124	1.627782	0.803790401601583
"1459"	"hopK"	-39.664812	-39.437372	0.45488	0.97774214381161
"1460"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"1461"	"hopN"	-51.850712	-51.20624	1.288944	0.863248534860755
"1462"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1463"	"hopQ"	-71.010277	-68.405788	5.208978	0.266519201615153
"1464"	"hopR"	-71.972372	-69.130103	5.684538	0.22397834128638
"1465"	"hopS"	-42.011965	-41.854084	0.315762	0.988774096512195
"1466"	"hopT"	-62.52055	-60.396448	4.248204	0.373455987972056
"1467"	"hopU"	-41.658934	-41.021044	1.27578	0.865471207435692
"1468"	"hopV"	-58.191609	-54.782226	6.818766	0.145781226510838
"1469"	"hopW"	-71.067845	-68.761865	4.61196	0.329477553515587
"1470"	"hopX"	-105.17302	-104.577065	1.19191	0.879428779167279
"1471"	"hopY"	-37.641571	-37.560219	0.162704	0.996865034373881
"1472"	"hopZ"	-96.858463	-93.729896	6.257134	0.180750685286257
"1473"	"avrA"	-54.343394	-51.50701	5.672768	0.224955259388284
"1474"	"avrB"	-91.525608	-87.162871	8.725474	0.0683398299276964
"1475"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"1476"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1477"	"avrPto"	-86.887975	-81.46238	10.85119	0.0282883345365539
"1478"	"avrRpm"	-80.74256	-78.982708	3.519704	0.474888639829745
"1479"	"avrRps4"	-76.409386	-73.466797	5.885178	0.207888918856715
"1480"	"avrRpt2"	-50.977588	-50.363705	1.227766	0.873506311865571
"1481"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"1482"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"1483"	"hopAB"	-86.238309	-78.574373	15.327872	0.00406733665920829
"1484"	"hopAD"	-39.664812	-39.434183	0.461258	0.977161264936365
"1485"	"hopAE"	-79.711518	-76.377684	6.667668	0.154527779005326
"1486"	"hopAF"	-100.815911	-101.593563	-1.555304	1
"1487"	"hopAG"	-66.818747	-64.614426	4.408642	0.353518030762369
"1488"	"hopAH"	-55.769689	-53.975961	3.587456	0.464705644986636
"1489"	"hopAI"	-60.369009	-58.108161	4.521696	0.339982641955228
"1490"	"hopAL"	-53.692517	-51.355176	4.674682	0.322334124449588
"1491"	"hopAM"	-52.902758	-51.797789	2.209938	0.69721025276485
"1492"	"hopAO"	-69.468744	-66.663621	5.610246	0.230207389394152
"1493"	"hopAQ"	-39.664812	-39.430222	0.46918	0.976431119944497
"1494"	"hopAR"	-72.990154	-66.985393	12.009522	0.0172805974892488
"1495"	"hopAS"	-56.806437	-54.928077	3.75672	0.439930150959176
"1496"	"hopAT"	-77.775445	-75.741538	4.067814	0.396906011908023
"1497"	"hopAU"	-50.368911	-49.497551	1.74272	0.782943643450333
"1498"	"hopAV"	-67.008293	-64.478814	5.058958	0.281301359096008
"1499"	"hopAW"	-57.535763	-55.96041	3.150706	0.532929364546575
"1500"	"hopAX"	-48.062667	-47.242015	1.641304	0.801350121994521
"1501"	"hopAY"	-99.399526	-96.501582	5.795888	0.214918849700082
"1502"	"hopAZ"	-97.305653	-96.344523	1.92226	0.750054684625905
"1503"	"hopBA"	-56.758852	-55.319109	2.879486	0.57819141685168
"1504"	"hopBB"	-76.42517	-71.552326	9.745688	0.0449364959930786
"1505"	"hopBC"	-55.903204	-54.448597	2.909214	0.573131363406147
"1506"	"hopBD"	-75.964314	-72.752845	6.422938	0.169711136875372
"1507"	"hopBE"	-48.556158	-46.042878	5.02656	0.284583114440306
"1508"	"hopBF"	-84.05626	-69.149037	29.814446	5.33911997534926e-06
"1509"	"hopBG"	-39.624522	-39.174315	0.900414	0.924501417277233
"1510"	"hopBH"	-43.955988	-43.325985	1.260006	0.868123629041852
"1511"	"hopBI"	-55.395777	-54.063326	2.664902	0.615370130507535
"1512"	"hopBJ"	-35.015101	-34.993326	0.04355	0.999766338290878
"1513"	"hopBK"	-49.271546	-48.628337	1.286418	0.863675669905809
"1514"	"hopBL"	-56.57954	-54.557115	4.04485	0.399970089589272
"1515"	"hopB"	-58.450129	-57.281882	2.336494	0.674132909084433
"1516"	"hopC"	-57.268023	-55.123525	4.288996	0.368305051085418
"1517"	"hopD"	-72.281583	-69.502414	5.558338	0.234648916138838
"1518"	"hopE"	-63.300446	-62.809987	0.980918	0.912675508634841
"1519"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"1520"	"hopG"	-67.677583	-65.619717	4.115732	0.390569748262729
"1521"	"hopH"	-90.624016	-83.100074	15.047884	0.00460292600296487
"1522"	"hopI"	-46.891243	-45.935744	1.910998	0.752124360150054
"1523"	"hopK"	-39.664812	-39.433963	0.461698	0.977120962156191
"1524"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"1525"	"hopN"	-51.850712	-51.206203	1.289018	0.863236017303794
"1526"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1527"	"hopQ"	-71.010277	-68.359967	5.30062	0.257818893300216
"1528"	"hopR"	-71.972372	-69.129515	5.685714	0.223880937015149
"1529"	"hopS"	-42.011965	-41.853686	0.316558	0.988720380137542
"1530"	"hopT"	-62.52055	-60.38625	4.2686	0.370873540252846
"1531"	"hopU"	-41.658934	-41.055432	1.207004	0.876944114106636
"1532"	"hopV"	-58.191609	-54.759568	6.864082	0.14324758248928
"1533"	"hopW"	-71.067845	-68.724621	4.686448	0.321008271226512
"1534"	"hopX"	-105.17302	-104.577065	1.19191	0.879428779167279
"1535"	"hopY"	-37.645843	-37.607459	0.076768	0.999281916473953
"1536"	"hopZ"	-96.858463	-93.729422	6.258082	0.180685771881448
"1537"	"avrA"	-54.343394	-51.565374	5.55604	0.234847259171048
"1538"	"avrB"	-91.525608	-87.122263	8.80669	0.0661171709356501
"1539"	"avrD1"	-82.054192	-78.005558	8.097268	0.088079427324647
"1540"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1541"	"avrPto"	-86.887975	-81.566715	10.64252	0.0308894232096374
"1542"	"avrRpm"	-80.74256	-78.982358	3.520404	0.474782661429335
"1543"	"avrRps4"	-76.409386	-73.466792	5.885188	0.207888143058583
"1544"	"avrRpt2"	-50.977588	-50.37157	1.212036	0.876113021344763
"1545"	"hopA1"	-91.697977	-90.265387	2.86518	0.580634698132551
"1546"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"1547"	"hopAB"	-86.238309	-78.582266	15.312086	0.00409583239916087
"1548"	"hopAD"	-39.664812	-39.439757	0.45011	0.978172485406058
"1549"	"hopAE"	-79.711518	-76.377709	6.667618	0.15453075082238
"1550"	"hopAF"	-104.844268	-101.337399	7.013738	0.135164013571541
"1551"	"hopAG"	-66.818747	-64.543637	4.55022	0.33663415099217
"1552"	"hopAH"	-55.769689	-53.959441	3.620496	0.45979466742323
"1553"	"hopAI"	-60.369009	-58.108211	4.521596	0.339994428149997
"1554"	"hopAL"	-53.692517	-51.113145	5.158744	0.271393730084282
"1555"	"hopAM"	-52.902758	-51.799847	2.205822	0.697963531534799
"1556"	"hopAO"	-69.468744	-66.735596	5.466296	0.242708012094439
"1557"	"hopAQ"	-39.664812	-39.443148	0.443328	0.978778281913371
"1558"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"1559"	"hopAS"	-56.806437	-54.909093	3.794688	0.434504253576922
"1560"	"hopAT"	-77.775445	-75.775577	3.999736	0.406041579403654
"1561"	"hopAU"	-50.368936	-49.529948	1.677976	0.794714316134018
"1562"	"hopAV"	-67.008293	-64.477829	5.060928	0.281102841411378
"1563"	"hopAW"	-57.535763	-55.973185	3.125156	0.537103633545558
"1564"	"hopAX"	-48.062667	-47.243629	1.638076	0.801933004546576
"1565"	"hopAY"	-99.399526	-96.501311	5.79643	0.21487555251609
"1566"	"hopAZ"	-97.305653	-96.31765	1.976006	0.74017222549143
"1567"	"hopBA"	-56.758852	-55.318789	2.880126	0.578082237304996
"1568"	"hopBB"	-76.42517	-71.571742	9.706856	0.0456660325597616
"1569"	"hopBC"	-55.903204	-54.449478	2.907452	0.573430626769037
"1570"	"hopBD"	-75.964314	-72.711639	6.50535	0.164453601996282
"1571"	"hopBE"	-48.55709	-46.089672	4.934836	0.29404931864045
"1572"	"hopBF"	-84.05626	-69.124346	29.863828	5.21699113782492e-06
"1573"	"hopBG"	-39.624522	-39.166922	0.9152	0.922370075570312
"1574"	"hopBH"	-43.955988	-43.319083	1.27381	0.865803123545458
"1575"	"hopBI"	-55.395777	-54.06451	2.662534	0.615786415663624
"1576"	"hopBJ"	-35.069407	-34.991445	0.155924	0.997114392792745
"1577"	"hopBK"	-49.271546	-48.622814	1.297464	0.861805654657679
"1578"	"hopBL"	-56.57954	-54.597932	3.963216	0.411006911758137
"1579"	"hopB"	-58.450129	-57.278617	2.343024	0.67294727147181
"1580"	"hopC"	-57.268023	-55.123507	4.289032	0.368300529898974
"1581"	"hopD"	-72.281583	-69.511546	5.540074	0.23622933572497
"1582"	"hopE"	-63.300446	-62.992235	0.616422	0.961221463960291
"1583"	"hopF"	-78.609322	-74.585763	8.047118	0.0898673707983755
"1584"	"hopG"	-67.677583	-65.60989	4.135386	0.387993308092881
"1585"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"1586"	"hopI"	-47.078015	-45.932078	2.291874	0.682248912650003
"1587"	"hopK"	-39.664812	-39.429489	0.470646	0.976294959470587
"1588"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"1589"	"hopN"	-51.850712	-51.206454	1.288516	0.863320928690248
"1590"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1591"	"hopQ"	-71.010277	-68.327834	5.364886	0.251863851478668
"1592"	"hopR"	-71.972372	-69.103642	5.73746	0.219631593303806
"1593"	"hopS"	-42.011965	-41.854377	0.315176	0.988813568688569
"1594"	"hopT"	-62.52055	-60.385805	4.26949	0.370761170505337
"1595"	"hopU"	-41.658934	-41.001328	1.315212	0.85878935587986
"1596"	"hopV"	-58.191609	-54.756925	6.869368	0.142954677690379
"1597"	"hopW"	-71.067845	-68.785306	4.565078	0.334900504860232
"1598"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"1599"	"hopY"	-37.616849	-37.611554	0.01059	0.999986030874728
"1600"	"hopZ"	-96.858463	-93.733215	6.250496	0.181205802944063
"1601"	"avrA"	-54.343394	-51.496549	5.69369	0.2232212898977
"1602"	"avrB"	-91.525608	-87.167834	8.715548	0.0686162830833681
"1603"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"1604"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1605"	"avrPto"	-86.887975	-81.351519	11.072912	0.0257566900607025
"1606"	"avrRpm"	-80.74256	-78.979161	3.526798	0.473815366068701
"1607"	"avrRps4"	-76.409386	-73.466792	5.885188	0.207888143058583
"1608"	"avrRpt2"	-50.977588	-50.35755	1.240076	0.871457314784839
"1609"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"1610"	"hopAA"	-76.032166	-74.087888	3.888556	0.42129820347676
"1611"	"hopAB"	-86.238309	-78.485815	15.504988	0.00376068065885657
"1612"	"hopAD"	-39.664812	-39.437623	0.454378	0.977787598576847
"1613"	"hopAE"	-79.711518	-76.377946	6.667144	0.154558926231786
"1614"	"hopAF"	-100.815911	-101.246305	-0.860788	1
"1615"	"hopAG"	-66.818747	-64.518256	4.600982	0.330740977683269
"1616"	"hopAH"	-55.769689	-53.954262	3.630854	0.458262524024308
"1617"	"hopAI"	-60.369009	-58.108158	4.521702	0.339981934793993
"1618"	"hopAL"	-53.692517	-51.668639	4.047756	0.3995813574149
"1619"	"hopAM"	-52.902758	-51.807345	2.190826	0.700709188752187
"1620"	"hopAO"	-69.468744	-66.65168	5.634128	0.228188677515203
"1621"	"hopAQ"	-39.664812	-39.430888	0.467848	0.976554552642925
"1622"	"hopAR"	-72.990154	-66.985394	12.00952	0.0172806123028736
"1623"	"hopAS"	-56.806437	-54.903102	3.80667	0.432802002872682
"1624"	"hopAT"	-77.775445	-75.761665	4.02756	0.402288858401825
"1625"	"hopAU"	-50.368525	-49.538572	1.659906	0.797987204169186
"1626"	"hopAV"	-67.008293	-64.480706	5.055174	0.281683006086791
"1627"	"hopAW"	-57.535763	-55.972047	3.127432	0.536731005138062
"1628"	"hopAX"	-48.062667	-47.244716	1.635902	0.802325448492563
"1629"	"hopAY"	-99.399526	-96.523932	5.751188	0.218516214574717
"1630"	"hopAZ"	-97.305653	-96.083206	2.444894	0.654529803162355
"1631"	"hopBA"	-56.758852	-55.31954	2.878624	0.578338484918887
"1632"	"hopBB"	-76.42517	-71.502084	9.846172	0.0431001671736277
"1633"	"hopBC"	-55.903204	-54.451316	2.903776	0.574055234484259
"1634"	"hopBD"	-75.964314	-72.728549	6.47153	0.166593086007681
"1635"	"hopBE"	-48.556365	-45.998991	5.114748	0.275724977670095
"1636"	"hopBF"	-84.05626	-69.122899	29.866722	5.209920753525e-06
"1637"	"hopBG"	-39.624522	-39.178228	0.892588	0.925621775620653
"1638"	"hopBH"	-43.955988	-43.327179	1.257618	0.86852411527954
"1639"	"hopBI"	-55.395777	-54.068684	2.654186	0.617254937957638
"1640"	"hopBJ"	-35.036837	-34.966909	0.139856	0.997666084316514
"1641"	"hopBK"	-49.271546	-48.632311	1.27847	0.865017682202637
"1642"	"hopBL"	-56.57954	-54.593036	3.973008	0.409671144607533
"1643"	"hopB"	-58.450129	-57.293563	2.313132	0.678379198057463
"1644"	"hopC"	-57.268023	-55.124696	4.286654	0.368599272706992
"1645"	"hopD"	-72.281583	-69.542242	5.478682	0.241609713871557
"1646"	"hopE"	-63.300446	-62.992243	0.616406	0.961223275633599
"1647"	"hopF"	-78.609322	-74.585759	8.047126	0.0898670828860606
"1648"	"hopG"	-67.677583	-65.612759	4.129648	0.388744153522269
"1649"	"hopH"	-90.624016	-83.100075	15.047882	0.00460293006589295
"1650"	"hopI"	-47.078015	-46.262588	1.630854	0.803236331003235
"1651"	"hopK"	-39.664812	-39.4331	0.463424	0.9769625801407
"1652"	"hopM"	-74.737348	-71.215505	7.043686	0.133597551399211
"1653"	"hopN"	-51.850712	-51.206256	1.288912	0.86325394777923
"1654"	"hopO"	-65.655995	-64.074385	3.16322	0.530891948807211
"1655"	"hopQ"	-71.010277	-68.328263	5.364028	0.251942569837135
"1656"	"hopR"	-71.972372	-69.074956	5.794832	0.21500322938766
"1657"	"hopS"	-42.011965	-41.854446	0.315038	0.988822855198541
"1658"	"hopT"	-62.52055	-60.385986	4.269128	0.370806872746535
"1659"	"hopU"	-41.658934	-41.043848	1.230172	0.873106450657946
"1660"	"hopV"	-58.191609	-54.757695	6.867828	0.143039954653945
"1661"	"hopW"	-71.067845	-68.777704	4.580282	0.333133962869959
"1662"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"1663"	"hopY"	-37.620022	-37.616061	0.00792199999999	0.99999217592416
"1664"	"hopZ"	-96.858463	-93.726476	6.263974	0.180282791880234
"1665"	"avrA"	-54.343394	-51.686047	5.314694	0.256504523560033
"1666"	"avrB"	-91.525608	-87.170392	8.710432	0.0687591843522766
"1667"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
"1668"	"avrE1"	-56.804156	-56.394297	0.819718	0.935785214420439
"1669"	"avrPto"	-86.887975	-81.79285	10.19025	0.037342031807016
"1670"	"avrRpm"	-80.74256	-78.980873	3.523374	0.474333188399566
"1671"	"avrRps4"	-76.409386	-73.466791	5.88519	0.207887987899264
"1672"	"avrRpt2"	-50.977588	-50.362688	1.2298	0.873168294298749
"1673"	"hopA1"	-91.697977	-90.265386	2.865182	0.580634356187818
"1674"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"1675"	"hopAB"	-86.238309	-78.571784	15.33305	0.00405803222326308
"1676"	"hopAD"	-39.664812	-39.43522	0.459184	0.97735083917586
"1677"	"hopAE"	-79.711518	-76.377778	6.66748	0.154538953307323
"1678"	"hopAF"	-100.815911	-99.370967	2.889888	0.576418233916092
"1679"	"hopAG"	-66.818747	-64.662259	4.312976	0.36530305476832
"1680"	"hopAH"	-55.769689	-53.975514	3.58835	0.464572288242724
"1681"	"hopAI"	-60.369009	-58.108177	4.521664	0.339986413501797
"1682"	"hopAL"	-53.692517	-51.495816	4.393402	0.355375017603526
"1683"	"hopAM"	-52.902758	-51.810041	2.185434	0.701696869324882
"1684"	"hopAO"	-69.468744	-66.751867	5.433754	0.245614216297965
"1685"	"hopAQ"	-39.664812	-39.42693	0.475764	0.975817063276634
"1686"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"1687"	"hopAS"	-56.806437	-54.911472	3.78993	0.435181549905303
"1688"	"hopAT"	-77.775445	-75.712197	4.126496	0.389157081241202
"1689"	"hopAU"	-50.368777	-49.556751	1.624052	0.804462888348581
"1690"	"hopAV"	-67.008293	-64.477842	5.060902	0.281105460671742
"1691"	"hopAW"	-57.535763	-55.975757	3.120012	0.53794637540245
"1692"	"hopAX"	-48.062667	-47.226355	1.672624	0.795684293832883
"1693"	"hopAY"	-99.399526	-96.500679	5.797694	0.214774608864487
"1694"	"hopAZ"	-97.305653	-96.393709	1.823888	0.768109118533964
"1695"	"hopBA"	-56.758852	-55.320114	2.877476	0.578534378232336
"1696"	"hopBB"	-76.42517	-71.564849	9.720642	0.0454057459233716
"1697"	"hopBC"	-55.903204	-54.450796	2.904816	0.573878486544775
"1698"	"hopBD"	-75.964314	-72.732494	6.46364	0.167095823212405
"1699"	"hopBE"	-48.559975	-46.006988	5.105974	0.276595717685356
"1700"	"hopBF"	-84.05626	-69.107244	29.898032	5.13403393612494e-06
